                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.30984,                 0.2301,                0.77474,                0.98334,                0.99884,                  0.995,                0.91389,                0.38491,                0.21516,                0.78282,             5.4847e-05,             5.4847e-05,             5.4847e-05
                     78,                0.32363,                0.24401,                0.77409,                0.98298,                0.99116,                  0.995,                0.91613,                0.38231,                0.21332,                0.78328,             5.2739e-05,             5.2739e-05,             5.2739e-05
                     79,                0.31048,                0.22135,                0.77345,                0.98309,                0.99287,                  0.995,                0.91439,                0.39602,                0.21469,                 0.7846,              5.063e-05,              5.063e-05,              5.063e-05
                     80,                0.32413,                0.23796,                0.77461,                0.98109,                0.99461,                  0.995,                0.91894,                0.38093,                0.21022,                0.78348,             4.8521e-05,             4.8521e-05,             4.8521e-05
                     81,                0.29381,                0.21789,                0.77456,                 0.9846,                 0.9967,                  0.995,                 0.9112,                0.38706,                 0.2081,                0.78498,             4.6413e-05,             4.6413e-05,             4.6413e-05
                     82,                0.30354,                0.22658,                0.77948,                0.98401,                0.99352,                  0.995,                 0.9158,                0.38612,                0.20841,                0.78448,             4.4304e-05,             4.4304e-05,             4.4304e-05
                     83,                0.30206,                0.23188,                0.77403,                0.98612,                0.99672,                  0.995,                0.91717,                0.36305,                0.20426,                0.78218,             4.2195e-05,             4.2195e-05,             4.2195e-05
                     84,                0.29903,                0.21589,                 0.7769,                0.98614,                0.99719,                  0.995,                0.91293,                0.37508,                0.20543,                0.78265,             4.0087e-05,             4.0087e-05,             4.0087e-05
                     85,                0.29372,                0.21189,                0.77906,                0.98406,                0.99406,                  0.995,                0.90752,                0.39326,                0.20947,                0.78416,             3.7978e-05,             3.7978e-05,             3.7978e-05
                     86,                0.29664,                0.21705,                 0.7734,                0.98463,                0.99591,                  0.995,                0.91717,                0.36147,                0.20046,                0.78147,             3.5869e-05,             3.5869e-05,             3.5869e-05
                     87,                0.28929,                0.21043,                0.77351,                 0.9834,                0.99804,                  0.995,                 0.9267,                0.36518,                0.20175,                  0.781,             3.3761e-05,             3.3761e-05,             3.3761e-05
                     88,                0.30038,                 0.2142,                0.77175,                0.98394,                0.99845,                  0.995,                0.92511,                0.35583,                0.19354,                0.78071,             3.1652e-05,             3.1652e-05,             3.1652e-05
                     89,                0.28803,                0.20888,                0.77622,                0.98532,                0.99555,                  0.995,                0.92376,                0.36098,                0.19539,                0.78053,             2.9543e-05,             2.9543e-05,             2.9543e-05
                     90,                0.28254,                 0.2049,                0.77189,                0.98718,                0.99503,                  0.995,                0.91796,                0.38534,                 0.2015,                0.78331,             2.7434e-05,             2.7434e-05,             2.7434e-05
                     91,                0.33315,                0.22554,                0.77682,                0.98583,                0.99439,                  0.995,                0.95888,                0.25376,                 0.1693,                0.77353,             2.5326e-05,             2.5326e-05,             2.5326e-05
                     92,                0.30012,                0.20925,                0.77426,                0.98568,                0.99272,                  0.995,                0.95737,                0.24157,                0.16532,                0.77209,             2.3217e-05,             2.3217e-05,             2.3217e-05
                     93,                0.28591,                0.20047,                0.77315,                0.98634,                0.99243,                  0.995,                0.95995,                0.23862,                0.16564,                0.77174,             2.1108e-05,             2.1108e-05,             2.1108e-05
                     94,                0.28153,                0.19983,                0.77209,                 0.9861,                0.99361,                  0.995,                0.95913,                0.23419,                0.16388,                 0.7714,                1.9e-05,                1.9e-05,                1.9e-05
                     95,                0.27586,                0.19868,                 0.7736,                0.98504,                0.99443,                  0.995,                0.96178,                0.23211,                0.15917,                0.77214,             1.6891e-05,             1.6891e-05,             1.6891e-05
                     96,                0.27324,                0.19037,                0.77624,                0.98421,                0.99391,                  0.995,                 0.9622,                0.22604,                0.15612,                0.77119,             1.4782e-05,             1.4782e-05,             1.4782e-05
                     97,                0.26619,                 0.1908,                0.76162,                0.98377,                0.99506,                  0.995,                0.96016,                0.22759,                0.15507,                0.77097,             1.2674e-05,             1.2674e-05,             1.2674e-05
                     98,                0.27188,                0.19172,                0.78413,                0.98414,                0.99578,                  0.995,                0.96021,                0.23157,                 0.1559,                0.77145,             1.0565e-05,             1.0565e-05,             1.0565e-05
                     99,                0.25998,                0.18824,                0.77941,                 0.9849,                0.99597,                  0.995,                0.96174,                0.22369,                0.15326,                0.77101,             8.4561e-06,             8.4561e-06,             8.4561e-06
                    100,                0.25398,                0.18381,                0.76482,                  0.985,                0.99577,                  0.995,                0.96176,                0.22059,                 0.1513,                0.77101,             6.3474e-06,             6.3474e-06,             6.3474e-06
